نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
أرض,سكني, الرياض , حي النرجس ,جنوبية غربية,1000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000
أرض,سكني, حي المهدية , شارع سعيد بن عبدالله باقشير ,شرقية,465,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570090
فيلا,سكني, الرياض , حي العقيق ,جنوبية,425,0,7,2,5,0,1,0,1,1,0,1,0,0,1,0,3200000
أرض,سكني, الرياض , حي الصحافة ,شمالية,343,2871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984753
فيلا,سكني, امارة منطقة الرياض, الرياض ,جنوبية,345,0,5,3,5,0,0,1,1,0,0,0,0,0,1,0,2500000
أرض,سكني, الرياض , حي الريان ,جنوبية شرقية,780,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4680000
أرض,سكني, امارة منطقة الرياض, الرياض ,شمالية,2394,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2394000
فيلا,سكني, حي الازدهار , شارع ابراهيم القيسي ,جنوبية,300,0,5,1,4,0,0,1,1,1,1,0,1,0,1,0,2900000
أرض,تجاري, الرياض , حي النهضة ,شرقية,420,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260000
أرض,تجاري وسكني, الرياض , حي اشبيلية ,شمالية,343,2871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984753
أرض,سكني, حريملاء, حي الخير ,شمالية,625,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1343750
أرض,سكني, الرياض , حي المهدية ,شمالية,810,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2065500
فيلا,سكني, الرياض , حي طويق ,شمالية غربية,250,0,5,3,5,25,1,1,0,0,0,0,0,0,1,1,1350000
أرض,سكني, امارة منطقة الرياض, الرياض ,جنوبية,400,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440000
أرض,سكني, حريملاء, الرياض ,جنوبية,742,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038800
فيلا,سكني, الرياض , حي طويق ,غربية,350,0,5,3,5,15,1,1,1,0,1,1,0,0,1,0,1230000
فيلا,سكني, امارة منطقة الرياض, الرياض ,شمالية,200,0,5,3,5,20,1,1,0,0,0,1,0,0,1,0,1450000
أرض,سكني, الرياض , حي القادسية ,شرقية,234,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702000
أرض,تجاري, الرياض , حي المهدية ,غربية,450,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215000
أرض,سكني, الدرعية, العيينة ,شمالية,630,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1575000
أرض,سكني, الرياض , حي بدر ,غربية,900,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491400
